,nome_repositorio,linguagem
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple-root-program,
7,apple_rules_lint,Starlark
8,ARKitScenes,Python
9,AudioUnit-Examples,Swift
10,AudioUnitSDK,C++
11,axlearn,Python
12,batch-processing-gateway,Java
13,ccs-caldavclientlibrary,HTML
14,ccs-caldavtester,Python
15,ccs-calendarserver,Python
16,ccs-pycalendar,Python
17,ccs-pykerberos,C
18,ccs-pyopendirectory,C++
19,ccs-pyosxframeworks,Python
20,ccs-pysecuretransport,Python
21,ccs-twistedextensions,Python
22,container,Swift
23,container-builder-shim,Go
24,containerization,Swift
25,coremltools,Python
26,corenet,Jupyter Notebook
27,cups,C
28,darwin-libplatform,C
29,darwin-libpthread,C
30,darwin-xnu,C
31,device-management,
32,dmel,Python
33,dmel-demo,HTML
34,dnikit,Python
35,eidas,Go
36,embedding-atlas,TypeScript
37,example-package-fisheryates,Swift
38,FHIRModels,Swift
39,foundationdb,C++
40,fstools,C
41,game-center-tools,Python
42,GCGC,Jupyter Notebook
43,highlightjs-pkl,JavaScript
44,homebrew-apple,Ruby
45,HomeKitADK,C
46,learning-compressible-subspaces,Python
47,learning-subspaces,Python
48,llvm-monorepo-root,
49,llvm-project-v5,C++
50,llvm-project-v5-split,C++
51,mapkit-loader,TypeScript
52,ml-4m,Python
53,ml-acn-embed,Python
54,ml-act,Python
55,ml-ademamix,Python
56,ml-afv,Python
57,ml-agent-evaluator,Jupyter Notebook
58,ml-agm,Python
59,ml-aim,Python
60,ml-all-pairs,Python
61,ml-ane-transformers,Python
62,ml-aspanformer,Python
63,ml-aspera,Python
64,ml-atoken,Jupyter Notebook
65,ml-aura,Python
66,ml-autofocusformer,Python
67,ml-autofocusformer-segmentation,Python
68,ml-batchquant,Python
69,ml-behavioral-testing-for-mt,
70,ml-bilevel-train-dist,Python
71,ml-bloop,Python
72,ml-cadd,Python
73,ml-calibration,Jupyter Notebook
74,ml-capsules-inverted-attention-routing,Python
75,ml-cifar-10-faster,Python
76,ml-clara,Python
77,ml-code-switched-speech-translation,Python
78,ml-codeswitching-translations,
79,ml-collegial-ensembles,Python
80,ml-comotion,Python
81,ml-compress-and-compare,Python
82,ml-constructive-circuit-amplification,Python
83,ml-core,Python
84,ml-covid-mobility,R
85,ml-cread,Python
86,ml-cross-entropy,Python
87,ml-cubifyanything,Python
88,ml-cvnets,Python
89,ml-cvpr2019-swd,Python
90,ml-dab,Python
91,ml-data-parameters,Python
92,ml-dataset-decomposition,Python
93,ml-delphi,
94,ml-depth-pro,Python
95,ml-destseg,Python
96,ml-diffucoder,Python
97,ml-diffusion-alignment-gflownet,Python
98,ml-direct2.5,Python
99,ml-divide-or-conquer,Python
100,ml-dms-dataset,Python
101,ml-dprecs,Jupyter Notebook
102,ml-dr,Python
103,ml-duet,Python
104,ml-egodex,Python
105,ml-encqa,Python
106,ml-entity-deduction-arena,Python
107,ml-entropy-reconstruction,Python
108,ml-envmapnet,Python
109,ml-epicache,Python
110,ml-equivariant-neural-rendering,Jupyter Notebook
111,ml-facelit,Python
112,ml-famae,Python
113,ml-fastvit,Python
114,ml-fastvlm,Python
115,ml-fct,Python
116,ml-ferret,Python
117,ml-finerecon,Python
118,ml-flair,Jupyter Notebook
119,ml-flextok,Jupyter Notebook
120,ml-fs-dfm,Python
121,ml-gaudi,
122,ml-gbc,Python
123,ml-genctrl,Python
124,ml-gendered-translation,Ruby
125,ml-gie-bench,Python
126,ml-gmpi,Python
127,ml-gsm-symbolic,
128,ml-gsn,Python
129,ml-hd-gist,Python
130,ml-health-query-profiles,Python
131,ml-heart-rate-models,Python
132,ml-hierarchical-confusion-matrix,TypeScript
133,ml-hilbert,Python
134,ml-hugs,Python
135,ml-hypercloning,Python
136,ml-hypersim,Python
137,ml-icr2,Python
138,ml-inrflow,Python
139,ml-interactive-data-augmentation,Svelte
140,ml-internal-llms-instruction-following,Python
141,ml-interspeech2022-phi_rtn,
142,ml-isqoe,Python
143,ml-itarflow,Python
144,ml-jointnet,Python
145,ml-key-retrieval-code-tasks,Python
146,ml-keyframer,JavaScript
147,ml-kg-mt,Python
148,ml-kge,Python
149,ml-knowledge-conflicts,Python
150,ml-kpconvx,Python
151,ml-l3m,Python
152,ml-lineas,Python
153,ml-lito,
154,ml-live-pose,
155,ml-llarp,Python
156,ml-loop,Python
157,ml-lucid-datagen,Python
158,ml-macereason-math,
159,ml-mad-bench,Jupyter Notebook
160,ml-matrix3d,Python
161,ml-mcf,Python
162,ml-mcp-repo-level-coding,Python
163,ml-mdm,Python
164,ml-mebp,Swift
165,ml-memory-pretraining,Python
166,ml-mgie,Python
167,ml-mia-bench,Jupyter Notebook
168,ml-MixupMP,Python
169,ml-mkqa,Python
170,ml-mobileclip,Python
171,ml-mobileclip-dr,Python
172,ml-mobileone,Swift
173,ml-mofi,Python
174,ml-multilingual-reasoning-gym,Python
175,ml-multiple-futures-prediction,Python
176,ml-mycelium,JavaScript
177,ml-narrativetrack,Python
178,ml-ncg,Python
179,ml-negative-sampling,Python
180,ml-neilf,Python
181,ml-neilfpp,Python
182,ml-neuman,Python
183,ml-no-token-left-behind,Jupyter Notebook
184,ml-np-rasp,Python
185,ml-nvas3d,Python
186,ml-ogen,Python
