,nome_repositorio,linguagem
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asf-rez-fork,Python
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,conductor-ui,JavaScript
31,consoleme,Python
32,curator,Java
33,denominator,Java
34,derand,Java
35,dgs,HTML
36,dgs-codegen,Kotlin
37,dgs-examples-java,Java
38,dgs-examples-java-2.7,Java
39,dgs-examples-java.latest,Java
40,dgs-examples-kotlin,Kotlin
41,dgs-examples-kotlin-2.7,Kotlin
42,dgs-examples-webflux,Java
43,dgs-federation-example,Kotlin
44,dgs-framework,Kotlin
45,dgs-intellij-plugin,Kotlin
46,dial-reference,C
47,dispatch,Python
48,dispatch-docker,Shell
49,dyno,Java
50,dyno-queues,Java
51,dynomite,C
52,dynomite-manager,Java
53,e2nest,Python
54,eclipse-jifa,Java
55,eclipse-mat,
56,edda,Scala
57,edda-client,Java
58,element-server,JavaScript
59,ember-batch-request,JavaScript
60,ember-nf-graph,JavaScript
61,ember-nf-graph-examples,JavaScript
62,eslint-config-netflix,Shell
63,eslint-plugin-x-element,JavaScript
64,eureka,Java
65,eureka-ui,JavaScript
66,EVCache,Java
67,fabricator,Java
68,falcor,JavaScript
69,falcor-datasource-chainer,JavaScript
70,falcor-express,JavaScript
71,falcor-express-demo,HTML
72,falcor-hapi,JavaScript
73,falcor-hapi-demo,HTML
74,falcor-http-datasource,JavaScript
75,falcor-json-graph,JavaScript
76,falcor-observable,JavaScript
77,falcor-path-syntax,JavaScript
78,falcor-path-utils,JavaScript
79,falcor-restify,JavaScript
80,falcor-restify-demo,HTML
81,falcor-router,JavaScript
82,falcor-router-demo,JavaScript
83,fast_jsonapi,Ruby
84,Fenzo,Java
85,Fido,C#
86,flamescope,Python
87,frigga,Java
88,genie,Java
89,glisten,Groovy
90,global-lock-bench,C
91,go-env,Go
92,go-expect,Go
93,go-iomux,Go
94,governator,Java
95,gradle-template,Java
96,hal-9001,Go
97,hollow,Java
98,hollow-reference-implementation,Java
99,hubcommander,Python
100,Hystrix,Java
101,iceberg,Java
102,iceberg-python,Python
103,iep,Java
104,iep-shadow,
105,image_compression_comparison,Python
106,inviso,JavaScript
107,karyon,Java
108,lemur,Python
109,lemur-docker,Python
110,libamicontained,Rust
111,Lipstick,JavaScript
112,maestro,Java
113,mantis,Java
114,mantis-api,Java
115,mantis-cli,JavaScript
116,mantis-connectors,Java
117,mantis-control-plane,Java
118,mantis-examples,Java
119,mantis-gradle-plugin,Groovy
120,mantis-helm,Smarty
121,mantis-mql,Clojure
122,mantis-rxcontrol,Java
123,mantis-rxnetty,
124,mantis-source-jobs,Java
125,mantis-ui,TypeScript
126,matchcut,Jupyter Notebook
127,metacat,Java
128,metaflow,Python
129,metaflow-docs,JavaScript
130,metaflow-extensions-template,Python
131,metaflow-nflx-extensions,Python
132,metaflow-service,Python
133,metaflow-tools,HCL
134,metaflow-ui,TypeScript
135,metrics-client-go,Go
136,msl,C++
137,ndbench,HTML
138,nerror,JavaScript
139,netflix-commons,Java
140,netflix-graph,Java
141,netflix.github.com,HTML
142,netflixoss-npm-build-infrastructure,
143,nf-data-explorer,TypeScript
144,nflx-geofeed,
145,nflxprofile,Python
146,NfWebCrypto,C++
147,Nicobar,Java
148,ocelli,Java
149,octodns,Python
150,octodns-ns1,Python
151,octodns-route53,Python
152,octodns-ultra,Python
153,OpenVPCal,Python
154,osstracker,Scala
155,ostris-ai-toolkit-fork,
156,p2plab,Go
157,photon,Java
158,PigPen,Clojure
159,pollyjs,JavaScript
160,polynote,HTML
161,Prana,Java
162,Priam,Java
163,probnik,TypeScript
164,pygenie,Python
165,pytheas,JavaScript
166,q,Java
167,Raigad,Java
168,ReactiveLab,Java
169,read_bbrlog,C
170,recipes-rss,Java
171,rend,Go
172,rend-http,Go
173,rend-lmdb,Go
174,repokid,Python
175,restful-jsonapi,Ruby
176,ribbon,Java
177,runtime-health,Java
178,rx-aws-java-sdk,Java
179,s3mper,Java
180,security-bulletins,
181,security_monkey,Python
182,servo,Java
183,sherlock,R
184,signal-wrapper,Go
185,SimianArmy,Java
186,sleepy-puppy-docker,Dockerfile
187,spark,Scala
188,spectator,Java
189,spectator-cpp,C++
190,spectator-go,Go
191,spectator-go-runtime-metrics,Go
192,spectator-js,TypeScript
193,spectator-py,Python
194,spectator-py-runtime-metrics,Python
195,spectator-rb,Ruby
196,staash,Java
197,sureal,Python
198,suro,Java
199,Surus,Java
200,taskintrospection,C
201,tcplog_dumper,C
202,techreports,
203,titus,
204,titus-api-definitions,Makefile
205,titus-control-plane,Java
206,titus-executor,Go
207,titus-kube-common,Go
208,tslint-config-netflix,JavaScript
209,ttal-dapt-conv,JavaScript
210,Turbine,Java
211,unleash,JavaScript
212,user2020-metaflow-tutorial,R
213,vector,JavaScript
214,vectorflow,D
215,videoannotator,Jupyter Notebook
216,virtual-kubelet,Go
217,vizceral,JavaScript
218,vizceral-component,JavaScript
219,vizceral-example,JavaScript
220,vizceral-react,JavaScript
221,vmaf,C
222,vmaf_resource,
223,void-model,Python
224,vp9-dash,
225,webpack-parse-query,JavaScript
226,weep,Go
227,Workflowable,Ruby
228,x-element,JavaScript
229,x-test,JavaScript
230,x-test-cli,JavaScript
231,yetch,JavaScript
232,zeno,Java
233,zuul,Java
