,nome_repositorio,linguagem
0,.github,
1,ads-claude-plugin,Python
2,aioshumway,Python
3,android-auth,Kotlin
4,android-sdk,HTML
5,android-store-service,Python
6,annoy,C++
7,annoy-java,Java
8,apollo,Java
9,apollo-elide,Java
10,apollo-metrics,
11,apps-tutorial,
12,argo-cd,
13,argo-rollouts,
14,async-datastore-client,Java
15,async-google-pubsub-client,Java
16,backup-utils,Shell
17,basic-pitch,Python
18,basic-pitch-ts,TypeScript
19,batty,Python
20,bazel,
21,bazel-tools,Java
22,beam,Java
23,big-data-rosetta-code,Scala
24,bigtable-autoscaler,Java
25,boilerplate-app,
26,bucket-runner,JavaScript
27,cartography,Python
28,cassandra-extra,Java
29,cassandra-medusa,Python
30,cassandra-opstools,Java
31,cassandra-reaper,
32,causify,
33,certcheck,Python
34,chartify,Python
35,code-of-conduct,
36,collectd,C
37,comet,Python
38,comet-common,Python
39,comet-core,Python
40,completable-futures,Java
41,condor,Java
42,confidence,Python
43,confidence-resolver,Rust
44,confidence-sdk-android,Kotlin
45,confidence-sdk-demos,TypeScript
46,confidence-sdk-dotnet,C#
47,confidence-sdk-flutter,Dart
48,confidence-sdk-go,Go
49,confidence-sdk-java,Java
50,confidence-sdk-js,TypeScript
51,confidence-sdk-python,Python
52,confidence-sdk-rust,Rust
53,confidence-sdk-swift,Swift
54,container-agent,Python
55,conversion-api-tag-template,Smarty
56,cookiecutter-golang,Go
57,coordinator,HTML
58,crtauth,Python
59,crtauth-java,Java
60,crtauth-java-agent-signer-apache,Java
61,crunch-lib,Java
62,cstar,Python
63,daemon-java,Java
64,dataenum,Java
65,DataflowJavaSDK,Java
66,dataproc-java-submitter,Java
67,dataprocxy,Python
68,dbeam,Java
69,debify,Shell
70,dh-virtualenv,Python
71,diffuser,Swift
72,dns-java,Java
73,docgenerator,Java
74,docker-alpine,
75,docker-bigtable,Go
76,docker-cassandra,Shell
77,docker-client,Java
78,docker-gc,Shell
79,docker-kafka,Shell
80,docker-maven-plugin,Java
81,docker-stress,Python
82,dockerfile-maven,Java
83,dockerfile-mode,Emacs Lisp
84,docker_interface,Python
85,drserv,Python
86,druid,
87,duck,Ruby
88,echoprint-codegen,C++
89,echoprint-server,Java
90,elasticsearch-index-window,Java
91,elitzur,Scala
92,eslint-config-oss,JavaScript
93,etcd,Go
94,featran,Scala
95,ffwd,Java
96,ffwd-client-java,Java
97,ffwd-http-client,Java
98,ffwd-ruby,Ruby
99,flink,Java
100,flink-docker,
101,flink-on-k8s-operator,Go
102,flo,Java
103,flume-syslog-source2,Java
104,flyte-flink-plugin,Go
105,fmt-maven-plugin,Java
106,folsom,Java
107,foss-root,
108,futures-extra,Java
109,futuristic-feline,Java
110,gcp-audit,Python
111,gcp-aws-iam-federation-webidentity,HCL
112,gcp-firewall-enforcer,Python
113,gcs-tools,Scala
114,ghelog,Python
115,gimme,Python
116,git-test,Shell
117,github-java-client,Java
118,google-http-java-client,Java
119,gordon,Python
120,gordon-gcp,Python
121,gordon-introspection,Python
122,gordon-janitor,Python
123,gordon-janitor-gcp,Python
124,griffin,Python
125,hadoop-openpgp-codec,Java
126,hdfs2cass,Java
127,helios,Java
128,helios-go,Go
129,helios-skydns,Java
130,heroic,Java
131,heroic-client-go,Go
132,heroic-client-java,Java
133,homebrew-public,Ruby
134,hornet,Scala
135,HubFramework,Objective-C
136,hush-tab,JavaScript
137,hype,Java
138,hyperflo,Scala
139,ieee-spm-vocals-tutorial,Jupyter Notebook
140,ios-auth,Swift
141,ios-ci,Shell
142,ios-sdk,Objective-C
143,ios-style,
144,java-hamcrest,Java
145,java-lkk,Java
146,java-locales,Java
147,jenkins-coverage-poster,Groovy
148,jira-lkk-bridge,Java
149,JniHelpers,C++
150,jsconfeu-2013,JavaScript
151,kafka,Scala
152,kairosdb,Java
